Food,Calories,Utility,Carbohydrate,Fat,Protein,Category,Links,Embedded Links
Kheer 1 cup,423,70,71.4,10.2,12,Veg,https://www.youtube.com/watch?v=riToqi_sAFA&pp=ygUMa2hlZXIgcmVjaXBl,"<iframe  src=""https://www.youtube.com/embed/riToqi_sAFA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
khichdi(100gm)+kadhi(1cup),384,60,79.35,27,24.15,Veg,https://www.youtube.com/watch?v=LDV77LP8IrU&pp=ygUUa2hpY2hkaSBrYWRoaSByZWNpcGU%3D,"<iframe src=""https://www.youtube.com/embed/LDV77LP8IrU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Mac and Cheese With Brocolli,439.5,60,43.95,21,18,Veg,https://www.youtube.com/watch?v=jLzedUxhr1M&pp=ygUbbWFjIGFuZCBjaGVlc2Ugd2l0aCBicm9jb2xp,"<iframe  src=""https://www.youtube.com/embed/jLzedUxhr1M"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Macaroni Chicken Soup,298.5,80,96,7.5,46.5,Non-Veg,https://www.youtube.com/watch?v=PdtXlN-NU94&pp=ygUdbWFjYXJvbmkgY2hpY2tlbiBzb3VwIHJlY2lwZSA%3D,"<iframe src=""https://www.youtube.com/embed/PdtXlN-NU94"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
moong daal chilla(4 pancake),600,70,60,22.2,38.4,Veg,https://www.youtube.com/watch?v=rdgYebOQQGM&pp=ygUYbW9vbmcgZGFsIGNoaWxsYSByZWNpcGUg,"<iframe  src=""https://www.youtube.com/embed/rdgYebOQQGM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Mutton Korma + 2 roti,1047,70,72,56.55,61.5,Veg,https://www.youtube.com/watch?v=gQCJtP3pGMc&pp=ygURbXV0dG9uIGtvcm1hIHJvdGk%3D,"<iframe  src=""https://www.youtube.com/embed/gQCJtP3pGMc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
nachos with cheese,519,70,54.45,28.5,13.65,Veg,https://www.youtube.com/watch?v=ZKVYlS4QnEY&pp=ygUNY2hlZXNlIG5hY2hvcw%3D%3D,"<iframe  src=""https://www.youtube.com/embed/ZKVYlS4QnEY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
paneer bhurji (1 cup) + paratha (2pc),1474.5,80,136.65,86.25,46.2,Veg,https://www.youtube.com/watch?v=w1B2PuRKJJU&pp=ygUccGFuZWVyIGJodXJqaSBwYXJhdGhhIHJlY2lwZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/w1B2PuRKJJU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
pani puri(20 pcs),600,80,117,24,12,Veg,https://www.youtube.com/watch?v=Lno88iU9J4w&pp=ygUQcGFuaSBwdXJpIHJlY2lwZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/Lno88iU9J4w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Pav Bhaji(1 plate+1/2 pav),300,70,70.5,18,10.5,Veg,https://www.youtube.com/watch?v=Gbuse4WX01I&pp=ygUQcGF2IGJoYWppIHJlY2lwZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/Gbuse4WX01I"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Peanut Soup,382.5,70,52.5,76.5,21,Veg,https://www.youtube.com/watch?v=A0NXofUjdkc&pp=ygUScGVhbnV0IHNvdXAgcmVjaXBl,"<iframe  src=""https://www.youtube.com/embed/A0NXofUjdkc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Poha 1 bowl,495,50,103.35,9,10.2,Veg,https://www.youtube.com/watch?v=a3dq7eADEug&pp=ygUUcG9oYSByZWNpcGUgaW4gaGluZGk%3D,"<iframe  src=""https://www.youtube.com/embed/a3dq7eADEug"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
ragda pattice (1 cup white peas + 1/8 cup tamarind (imli) + small potato),555,50,75,19.5,12,Veg,https://www.youtube.com/watch?v=sGHpPi0zYvc&pp=ygUUcmFnZGEgcGF0dGljZSByZWNpcGU%3D,"<iframe  src=""https://www.youtube.com/embed/sGHpPi0zYvc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
rajma and jeera rice,960,90,133.5,37.5,21,Veg,https://www.youtube.com/watch?v=PsSNpXmb-Gw&pp=ygUQcmFqbWEgamVlcmEgcmljZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/PsSNpXmb-Gw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Rice+Dal Fry,1156.5,40,156,31.5,48,Veg,https://www.youtube.com/watch?v=8c_scYUN5uc&pp=ygUMcmljZSBkYWwgZnJ5,"<iframe  src=""https://www.youtube.com/embed/8c_scYUN5uc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Roti(3)+Aloo gobi sabji(1 bowl),721.5,70,105,33,13.5,Veg,https://www.youtube.com/watch?v=Z0R9iu_Am4s&pp=ygUZY2hhcGF0aSBhbG9vIGdvYmkgcmVjaXBlIA%3D%3D,"<iframe  src=""https://www.youtube.com/embed/Z0R9iu_Am4s"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
