Food,Calories,Utility,Carbohydrate,Fat,Protein,Category,Links,Embedded Links
Muthiya -  1 cup,315,40,60,4.35,13.5,Veg,https://www.youtube.com/watch?v=ZP96xww2uI4&pp=ygUObXV0aGl5YSByZWNpcGU%3D,"<iframe src=""https://www.youtube.com/embed/ZP96xww2uI4?start=1"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Undhiyu + 3 Rotis,831,30,110.85,31.8,18,Veg,https://www.youtube.com/watch?v=76WP69qtDi8&pp=ygUOdW5kaGl5dSByZWNpcGU%3D,"<iframe src=""https://www.youtube.com/embed/76WP69qtDi8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Nylon Khaman - 100g,529.5,20,99,6.3,19.5,Veg,https://www.youtube.com/watch?v=Odk3oMRh5zg&pp=ygUTbnlsb24ga2hhbWFuIHJlY2lwZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/Odk3oMRh5zg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Butter Chicken - 1 bowl,745.5,10,60,36,64.5,Non-Veg,https://www.youtube.com/watch?v=b7yuoRk227Y&pp=ygUVYnV0dGVyIGNoaWNrZW4gcmVjaXBl,"<iframe  src=""https://www.youtube.com/embed/b7yuoRk227Y"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Chicken Tikka Masala - 1 bowl,600,50,48,37.5,39,Non-Veg,https://www.youtube.com/watch?v=wm5vqZcl8BQ&pp=ygUcY2hpY2tlbiB0aWtrYSBtYXNhbGEgcmVjaXBlIA%3D%3D,"<iframe  src=""https://www.youtube.com/embed/wm5vqZcl8BQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Mughlai Chicken - 1 bowl,439.5,90,19.5,27,30.3,Non-Veg,https://www.youtube.com/watch?v=dVbNLOu4Xqk&pp=ygUWbXVnaGxhaSBjaGlja2VuIHJlY2lwZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/dVbNLOu4Xqk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
4 Momos,459,100,50.85,18,15,Veg,https://www.youtube.com/watch?v=WR_X33yGgNk&pp=ygUMbW9tb3MgcmVjaXBl,"<iframe  src=""https://www.youtube.com/embed/WR_X33yGgNk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Dal Bati Churma - 200g,960,90,90,15,12,Veg,https://www.youtube.com/watch?v=N3_R51ZXn7g&pp=ygUfZGFsIGJhdGkgY2h1cm1hIGthaXNlIGJhbnRhIGhhaQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/N3_R51ZXn7g"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Chicken Vindaloo - 1 portion,931.5,80,108,31.5,48,Non-Veg,https://www.youtube.com/watch?v=6nqsPZ1sjc4&pp=ygUXY2hpY2tlbiB2aW5kYWxvbyByZWNpcGU%3D,"<iframe  src=""https://www.youtube.com/embed/6nqsPZ1sjc4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
omelette,304.5,100,6,30,19.5,Non-Veg,https://www.youtube.com/watch?v=sAa-CEl5Z-k&pp=ygUPb21lbGV0dGUgcmVjaXBl,"<iframe  src=""https://www.youtube.com/embed/sAa-CEl5Z-k"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Breakfast Biscuits - Oats and Milk,324,70,50.25,11.7,6.6,Veg,https://www.youtube.com/watch?v=4b9HU0iphMM&pp=ygULb2F0cyByZWNpcGU%3D,"<iframe  src=""https://www.youtube.com/embed/4b9HU0iphMM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Banana Bread,339,40,54,12,6,Veg,https://www.youtube.com/watch?v=wDYGn36lM30&pp=ygUTYmFuYW5hIGJyZWFkIHJlY2lwZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/wDYGn36lM30"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Muesli With Oats, Dates & Berries",717,70,69,34.5,25.5,Veg,https://www.youtube.com/watch?v=OoJXS-SBq1Q&pp=ygUZaG9tZW1hZGUgbXVlc2xpIHdpdGggb2F0cw%3D%3D,"<iframe  src=""https://www.youtube.com/embed/OoJXS-SBq1Q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Bread Upma,649.5,30,87,25.5,16.5,Veg,https://www.youtube.com/watch?v=y2GPMVUqHnU&pp=ygUKYnJlYWQgdXBtYQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/y2GPMVUqHnU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Humus + pita bread,450,50,102,37.5,30,Veg,https://www.youtube.com/watch?v=smA3dEHLGpk&pp=ygUZaHVtbXVzIHBpdGEgYnJlYWQgcmVjaXBlIA%3D%3D,"<iframe src=""https://www.youtube.com/embed/smA3dEHLGpk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Mughal mutton curry,825,30,105,45,42,Non-Veg,https://www.youtube.com/watch?v=fNz7Fd0_W4o&pp=ygUcbXVnaGxhaSBtdXR0b24gY3VycnkgcmVjaXBlIA%3D%3D,"<iframe src=""https://www.youtube.com/embed/fNz7Fd0_W4o"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Tunda Kebab,720,20,112.5,82.5,45,Non-Veg,https://www.youtube.com/watch?v=zlubhuj7G-w&pp=ygUUdHVuZGF5IGtlYmFiIHJlY2lwZSA%3D,"<iframe  src=""https://www.youtube.com/embed/zlubhuj7G-w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Grilled Chicken Escalope with fresh salsa,540,10,45,33,37.5,Non-Veg,https://www.youtube.com/watch?v=8-Ovw-2r1Vo&pp=ygUpR3JpbGxlZCBDaGlja2VuIEVzY2Fsb3BlIHdpdGggZnJlc2ggc2Fsc2E%3D,"<iframe  src=""https://www.youtube.com/embed/8-Ovw-2r1Vo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Chicken 65,495,60,30,15,30,Non-Veg,https://www.youtube.com/watch?v=DZtqRaHYsf8&pp=ygURY2hpY2tlbiA2NSByZWNpcGU%3D,"<iframe  src=""https://www.youtube.com/embed/DZtqRaHYsf8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Roti Prata with Egg (2 pieces),864,50,0.585,0.66,0.255,Non-Veg,https://www.youtube.com/watch?v=my5RWiHOfRI&pp=ygUOcm90aSBwcmF0YSBlZ2c%3D,"<iframe  src=""https://www.youtube.com/embed/my5RWiHOfRI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
